EmployeeId,billable,nonbillable,total,billable_ratio
0,0,364.4,1900.0999999999997,2264.4999999999995,16.09
1,5,3961.9899999999993,4364.099999999999,8326.089999999998,47.59
2,8,620.3000000000001,1058.6999999999998,1679.0,36.94
3,9,3707.99,2520.9999999999995,6228.99,59.53
4,42,3180.7300000000005,4612.000000000001,7792.730000000001,40.82
5,57,7304.850000000001,5971.8,13276.650000000001,55.02
6,64,16395.09000000001,15505.099999999999,31900.19000000001,51.39
7,68,4408.700000000002,1391.15,5799.850000000002,76.01
8,70,72.0,132.25,204.25,35.25
9,75,15.5,0.0,15.5,100.0
10,97,512.5500000000002,1770.7500000000002,2283.3,22.45
11,106,256.6099999999999,3691.25,3947.8599999999997,6.5
12,110,10703.770000000017,3984.8900000000003,14688.660000000018,72.87
13,113,3599.45,6872.499999999999,10471.949999999999,34.37
14,119,7360.989999999999,3787.6699999999996,11148.659999999998,66.03
15,121,4362.530000000001,5111.050000000001,9473.580000000002,46.05
16,122,12571.389999999992,11950.270000000004,24521.659999999996,51.27
17,136,667.65,816.05,1483.6999999999998,45.0
18,138,1025.43,318.65,1344.08,76.29
19,140,977.77,505.90000000000003,1483.67,65.9
20,147,5712.040000000004,3219.7000000000003,8931.740000000003,63.95
21,157,4564.089999999999,6045.599999999999,10609.689999999999,43.02
22,186,3129.8899999999994,2858.6000000000004,5988.49,52.27
23,207,794.45,1052.9,1847.3500000000001,43.0
24,215,3341.89,1936.15,5278.04,63.32
25,217,3814.399999999999,3434.0000000000005,7248.4,52.62
26,223,2561.1,3779.6000000000004,6340.700000000001,40.39
27,226,11969.910000000013,10899.949999999997,22869.860000000008,52.34
28,228,6566.210000000002,3795.9299999999994,10362.140000000001,63.37
29,242,522.65,286.45,809.0999999999999,64.6
30,252,2255.45,2357.85,4613.299999999999,48.89
31,296,5176.730000000001,4701.950000000001,9878.680000000002,52.4
32,297,4229.43,3805.6999999999994,8035.129999999999,52.64
33,300,3840.409999999999,5257.690000000002,9098.100000000002,42.21
34,319,1922.8799999999999,2278.1,4200.98,45.77
35,350,1086.48,233.95,1320.43,82.28
36,359,9627.129999999992,9236.1,18863.229999999992,51.04
37,364,1563.5499999999997,1683.8499999999997,3247.3999999999996,48.15
38,374,8384.049999999996,7926.899999999999,16310.949999999993,51.4
39,384,1094.3100000000002,179.0,1273.3100000000002,85.94
40,401,2464.1500000000005,340.85,2805.0000000000005,87.85
41,427,2486.93,4204.800000000001,6691.730000000001,37.16
42,438,1315.57,1469.85,2785.42,47.23
43,447,176.0,1022.1,1198.1,14.69
44,452,1125.98,1327.5,2453.48,45.89
45,470,855.38,1947.8000000000002,2803.1800000000003,30.51
46,473,3405.789999999999,2834.3,6240.089999999999,54.58
47,477,2470.4499999999994,3673.0799999999995,6143.529999999999,40.21
48,480,6712.5199999999995,6548.5999999999985,13261.119999999999,50.62
49,503,992.14,1026.6,2018.7399999999998,49.15
50,508,4821.89,3752.100000000001,8573.990000000002,56.24
51,512,5638.679999999998,6355.550000000001,11994.23,47.01
52,518,340.8500000000001,2501.7,2842.5499999999997,11.99
53,521,4902.53,2814.92,7717.45,63.53
54,540,733.6300000000001,840.15,1573.7800000000002,46.62
55,542,1026.64,2503.3500000000004,3529.9900000000007,29.08
56,546,1848.3400000000001,3563.1999999999994,5411.539999999999,34.16
57,549,3374.1099999999983,6118.700000000002,9492.81,35.54
58,552,7734.010000000003,3653.1,11387.110000000002,67.92
59,553,4902.6,4955.8499999999985,9858.449999999999,49.73
60,554,3862.259999999999,5073.550000000001,8935.81,43.22
61,564,2941.580000000001,4732.950000000001,7674.530000000002,38.33
62,575,2507.89,3161.15,5669.04,44.24
63,586,2486.3799999999997,4164.549999999998,6650.9299999999985,37.38
64,592,2854.2200000000003,5371.150000000002,8225.370000000003,34.7
